Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip Code,Taxpayer County,Outlet Number,Location Name,Location Address,Location City,Location State,Location Zip Code,Location County,Location Room Capacity,Location Tot Room Receipts,Location Taxable Receipts
32050067050,"COASTAL WAVES VACATIONS, LLC                      ","3616 7 MILE RD                          ","GALVESTON           ","TX","77554",084,00010," COASTAL WAVES VACATIONS                          ","4158 GREEN HERON DR                     ","GALVESTON           ","TX","77554",084,    1,      4934.00,      4934.00
32049649729,"ALL SEASONS RENTALS,  INC.                        ","15113 BAT HAWK CIR                      ","AUSTIN              ","TX","78738",227,00022," CROSSING C                                       ","613 HI CIR N                            ","HORSESHOE BAY       ","TX","78657",150,    1,      1500.00,      1500.00
32039987733,"TIRUPATI LODGING CORP.                            ","1407 S MAIN ST                          ","HIGHLANDS           ","TX","77562",101,00001," HIGHLANDS SUITES                                 ","1407 S MAIN ST                          ","HIGHLANDS           ","TX","77562",101,   31,     25040.00,     17065.00
32001947285,"IRMA A HARTMAN                                    ","2423 E MAIN ST                          ","EAGLE PASS          ","TX","78852",159,00001," HOLLY INN                                        ","2423 E MAIN ST                          ","EAGLE PASS          ","TX","78852",159,   70,     13949.88,     13949.88
32046829167,"SPI RENTALS, LLC                                  ","104 W BAHAMA ST STE B                   ","S PADRE ISLE        ","TX","78597",031,00046," SPI RENTALS, LLC - BEACH                         ","6401B BEACH DR                          ","SOUTH PADRE ISLAND  ","TX","78597",031,    1,      3170.00,      3170.00
32015454328,"WILLIAM T HOVESTADT                               ","PO BOX 310279                           ","NEW BRAUNFELS       ","TX","78131",046,00011," W T H INVESTMENTS                                ","777 CLOUD LN                            ","NEW BRAUNFELS       ","TX","78130",094,    1,     47440.00,     47440.00
32044594219,"KEY ALLEGRO COASTAL LUCE PROPERTIES, LLC          ","1809 BAY SHORE DR                       ","ROCKPORT            ","TX","78382",004,00137," 703 ALLEGRO NORTH CONDOS                         ","620 S FULTON BEACH RD APT 703           ","ROCKPORT            ","TX","78382",004,    3,      3120.00,      3120.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00191,"(LC28) MICHAEL OR DAWN COACH                      ","6877 STATE HIGHWAY 361                  ","PORT ARANSAS        ","TX","78373",178,    1,      3775.00,      3775.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00189,"(LC42) STEVEN GATTO                               ","6877 STATE HIGHWAY 361                  ","PORT ARANSAS        ","TX","78373",178,    1,      3440.00,      3440.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00155,"(PB 114) TERRY L CARTER                           ","2012 HWY 361 #114                       ","PORT ARANSAS        ","TX","78373",178,    1,      6902.00,      6902.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00156,"(PB 205) LARRY OR VICKY MURPHY                    ","2012 HWY 361 # 205                      ","PORT ARANSAS        ","TX","78373",178,    1,      6200.00,      6200.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00194,"(PB101) STEVEN AND MARY MORGAN                    ","2012 HWY 361 #101                       ","PORT ARANSAS        ","TX","78373",178,    1,      7335.00,      7335.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00192,"(PB202) SANDRA ELROD                              ","2212 STATE HIGHWAY 361 # 202            ","PORT ARANSAS        ","TX","78373",178,    1,         0.00,         0.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00196,"(PB206) LARRY OR VICKEY MURPHY                    ","2122 STATE HIGHWAY 361 # 206            ","PORT ARANSAS        ","TX","78373",178,    1,      6660.00,      6660.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00190,"(TC301) GERALD OR DONNA HILL                      ","2120 S 11TH ST                          ","PORT ARANSAS        ","TX","78373",178,    1,      3675.00,      3675.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00197,"(109FD) ANTHONY OR CYNTHIA MARTINEZ               ","109 FIVE DOVE CIR                       ","PORT ARANSAS        ","TX","78373",178,    1,      7325.00,      7325.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00222,"(131 C) NATHAN PAYNE                              ","131 WHITE STREET # C                    ","PORT ARANSAS        ","TX","78373",178,    1,         0.00,         0.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00193,"(1515E) ELAINE TEBBEN                             ","1515 S 11TH ST                          ","PORT ARANSAS        ","TX","78373",178,    1,      4125.00,      4125.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00154,"(230RO) MARK OR VICTORIA LAMBDIN                  ","230 W ROBERTS                           ","PORT ARANSAS        ","TX","78373",178,    1,      3101.00,      3101.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00224,"(658 AD) LAURA JONES                              ","663 ANCHOR DR                           ","PORT ARANSAS        ","TX","78373",178,    1,     10340.00,     10340.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00223,"(663 AD) LAURA JONES                              ","663 ANCHOR DR                           ","PORT ARANSAS        ","TX","78373",178,    1,     12685.00,     12685.00
32053061605,"WF HOTEL MANAGEMENT LLC                           ","601 CARLSON PKWY STE 1125               ","HOPKINS             ","MN","55305",000,00001,"'MAINSTAY SUITES'                                 ","1917 ELMWOOD NORTH AVE                  ","WICHITA FALLS       ","TX","76308",243,   90,    117102.03,     74430.55
32042797483,"LINDA MCCOURT                                     ","3766 CLEAR FALLS DR                     ","KINGWOOD            ","TX","77339",101,00001,"'OCEAN'S TWELVE'                                  ","4002 11 MILE RD                         ","GALVESTON           ","TX","77554",084,    3,      9400.00,      9400.00
12057818812,"A & I INVESTMENTS, LLC.                           ","721 LAURELWOOD WAY                      ","WALNUT              ","CA","91789",000,00001,"A AND I INVESTMENTS  LLC                          ","4500 HIGHWAY 73                         ","PORT ARTHUR         ","TX","77642",123,   55,     66523.81,     51927.36
17602721106,"A. B. SEA SALES AND RENTALS, INC.                 ","10811 TERMINI SAN LUIS PASS RD          ","GALVESTON           ","TX","77554",084,00004,"A B SEA SALES AND RENTALS INC                     ","10811 TERMINI SAN LUIS PASS RD          ","GALVESTON           ","TX","77554",084,   42,    271485.50,    271485.50
32017274401,"MELISSA L SERGEANT                                ","600 CUT OFF RD STE 5                    ","PORT ARANSAS        ","TX","78373",178,00002,"A BEACH CONDO (RUSS MATSUNAMI)                    ","841 SANDCASTLE DR # 215                 ","PORT ARANSAS        ","TX","78373",178,    4,      2685.00,      2685.00
32037257915,"LUETH COMPANY LLC                                 ","PO BOX 3186                             ","PORT ARANSAS        ","TX","78373",178,00068,"A COASTIN'CASA                                    ","1923 S 11TH ST                          ","PORT ARANSAS        ","TX","78373",178,    1,      3920.00,      3920.00
32016093760,"DEBBIE A GREGORY                                  ","834 MITCHELL ST                         ","GONZALES            ","TX","78629",089,00005,"A COUNTRY PLACE                                   ","3250 WAYSIDE DR                         ","WIMBERLEY           ","TX","78676",105,    2,      5575.00,      5575.00
32017274401,"MELISSA L SERGEANT                                ","600 CUT OFF RD STE 5                    ","PORT ARANSAS        ","TX","78373",178,00030,"A COZY CONDO #201 ( TERRY PETERSEN)               ","841 SANDCASTLE DR # 201                 ","PORT ARANSAS        ","TX","78373",178,    4,      3120.00,      3120.00
32017274401,"MELISSA L SERGEANT                                ","600 CUT OFF RD STE 5                    ","PORT ARANSAS        ","TX","78373",178,00029,"A COZY CONDO #305 (TERRY PETERSEN)                ","841 SANDCASTLE DR # 305                 ","PORT ARANSAS        ","TX","78373",178,    4,      2905.00,      2905.00
