"MB638028    ","ABILENE BEEHIVE INC           ","442 CEDAR ST STE A            ","ABILENE             ","TX","79601","221","          ","2016/10", 000002238.20
"MB543114    ","ABILENE BOWLING LANES INC     ","279 RUIDOSA AVE               ","ABILENE             ","TX","79605","221","          ","2016/10", 000000200.19
"MB933130    ","ABILENE CABARET LLC           ","1918 BUTTERNUT ST             ","ABILENE             ","TX","79602","221","          ","2016/10", 000000894.38
"N 037863    ","ABILENE COUNTRY CLUB          ","4039 S TREADAWAY BLVD         ","ABILENE             ","TX","79602","221","          ","2016/10", 000002034.65
"MB200506    ","ABILENE SEAFOOD TAVERN        ","1882 S CLACK ST               ","ABILENE             ","TX","79605","221","          ","2016/10", 000001268.64
"MB541702    ","ABUELO'S BEVERAGE CORPORATION ","4782 S 14TH ST                ","ABILENE             ","TX","79605","221","          ","2016/10", 000003732.23
"MB932373    ","ACE IN THE HOLE               ","133 EPLENS CT                 ","ABILENE             ","TX","79605","221","          ","2016/10", 000000000.00
"MB248134    ","BILLIARDS PLUS                ","5495 S 7TH ST                 ","ABILENE             ","TX","79605","221","          ","2016/10", 000001259.06
"MB685388    ","BONZAI JAPANESE STEAK HOUSE   ","1802 S CLACK ST               ","ABILENE             ","TX","79605","221","          ","2016/10", 000000528.76
"MB701733    ","BREAKERS SPORTS BAR           ","1874 S CLACK ST               ","ABILENE             ","TX","79605","221","          ","2016/10", 000003955.88
"MB937950    ","BUFFALO WILD WINGS GRILL & BAR","1010 E OVERLAND TRL           ","ABILENE             ","TX","79601","221","          ","2016/10", 000005422.24
"MB537755    ","BUFFALO WILD WINGS GRILL AND B","4401 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2016/10", 000005542.10
"MB139550    ","CAHOOTS CATFISH & OYSTER BAR/J","301 S 11TH ST                 ","ABILENE             ","TX","79602","221","          ","2016/10", 000000521.12
"MB121979    ","CASA HERRERA                  ","4109 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2016/10", 000000699.94
"MB892940    ","CHELSEA'S ST PUB              ","4310 BUFFALO GAP RD STE 1342  ","ABILENE             ","TX","79606","221","          ","2016/10", 000002113.85
"MB232328    ","CHILI'S GRILL & BAR           ","4302 S CLACK ST               ","ABILENE             ","TX","79606","221","          ","2016/10", 000002624.52
"MB163912    ","CHILIS GRILL & BAR            ","1702 HWY 351                  ","ABILENE             ","TX","79601","221","          ","2016/10", 000002968.83
"MB580409    ","COPPER CREEK FINE TEXAS DINING","4401 LOOP 322                 ","ABILENE             ","TX","79602","221","          ","2016/10", 000002021.52
"MB864640    ","COURTYARD BY MARRIOTT         ","4350 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2016/10", 000000208.16
"MB920982    ","COURTYARD BY MARRIOTT ABILENE ","2141 SCOTTISH RD              ","ABILENE             ","TX","79601","221","          ","2016/10", 000000367.09
"MB242211    ","CYPRESS STREET STATION        ","158 CYPRESS STREET            ","ABILENE             ","TX","79601","221","          ","2016/10", 000000776.93
