Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip Code,Taxpayer County,Outlet Number,Location Name,Location Address,Location City,Location State,Location Zip Code,Location County,Location Room Capacity,Location Tot Room Receipts,Location Taxable Receipts
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00059,301 E 4TH ST # 337,301 E 4TH ST APT 337,AUSTIN,TX,78701,227,2,0.0,0.0
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00006,301 E 4TH STREET #307,301 E 4TH ST APT 307,AUSTIN,TX,78701,227,2,8652.45,8652.45
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00036,301 EAST 4TH STREET #353,301 E 4TH ST APT 353,AUSTIN,TX,78701,227,2,7352.92,7352.92
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00382,3010E3RD,3010 E 3RD ST,AUSTIN,TX,78702,227,3,0.0,0.0
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00257,303 W ELIZABETH ST UNIT A,303 W ELIZABETH ST UNIT A,AUSTIN,TX,78704,227,4,0.0,0.0
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00318,303 W ELIZABETH ST UNIT A,201 E 4TH ST APT 225,AUSTIN,TX,78701,227,5,2109.37,2109.37
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00258,303 W ELIZABETH ST UNIT B,303 W ELIZABETH ST UNIT B,AUSTIN,TX,78704,227,2,0.0,0.0
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00321,3101MANC,3101 MANCHACA RD,AUSTIN,TX,78704,227,2,4400.71,4400.71
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00388,3201S5UB,3201 S 5TH ST UNIT B,AUSTIN,TX,78704,227,3,4871.24,4871.24
32054419943,"6101 MESA, LLC",1011 W ANDERSON LN,AUSTIN,TX,78757,227,00003,3300 FOSTER,4323 PALLADIO DR,AUSTIN,TX,78731,227,3,0.0,0.0
32049933412,"TURNKEY VACATION RENTALS, INC.",4544 S LAMAR BLVD STE G300,AUSTIN,TX,78745,227,00205,3335 FAR VIEW DR,3335 FAR VIEW DR,AUSTIN,TX,78730,227,4,0.0,0.0
