Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip Code,Taxpayer County,Outlet Number,Location Name,Location Address,Location City,Location State,Location Zip Code,Location County,Location Room Capacity,Location Tot Room Receipts,Location Taxable Receipts
32016602719,BHAKTA DAYARAM,2627 MANOR RD,AUSTIN,TX,78722,227,00001,ACE MOTEL,2627 MANOR RD,AUSTIN,TX,78722,227,27,18906.0,16891.0
32016658448,SIDNEY CORINNE LOCK,4300 AVENUE G,AUSTIN,TX,78751,227,00005,ADAMS HOUSE BED & BREAKFAST,4300 AVENUE G,AUSTIN,TX,78751,227,3,21292.0,20816.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00007,ALLANDALE RENTALS,1107A BRENTWOOD ST,AUSTIN,TX,78757,227,2,2410.0,2410.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00009,ALLANDALE RENTALS,11900 ALOE VERA TRL,AUSTIN,TX,78750,246,8,3965.0,0.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00010,ALLANDALE RENTALS DUPLEX,2200 LANIER DR # B,AUSTIN,TX,78757,227,1,402.0,402.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00008,ALLANDALE RENTALS/DUPLEX,2200 LANIER DR # A,AUSTIN,TX,78757,227,4,2224.0,0.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00004,ALLENDALE RENTALS,2105 LANIER DR,AUSTIN,TX,78757,227,1,2482.0,2482.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00006,ALLENDALE RENTALS,5010 PLACID PL,AUSTIN,TX,78731,227,1,4599.0,0.0
32024286760,"ALTEMATE REAL ESTATE, LLC",1318 URSULINES AVE,NEW ORLEANS,LA,70116,000,00008,ALTEMATE REAL ESTATE LLC,76 SAN MARCOS ST,AUSTIN,TX,78702,227,1,2485.0,2485.0
32043492993,AMANDA K CRIBBS,4202 FLAGSTAFF DR,AUSTIN,TX,78759,227,00002,AMANDA K CRIBBS,1906 BELFORD DR,AUSTIN,TX,78757,227,1,2223.0,2223.0
32049296356,"AMCO HOTEL & SUITES, INC.",2700 S INTERSTATE 35 STE 100,AUSTIN,TX,78704,227,00001,AMCO HOTEL & SUITES,2700 S INTERSTATE 35,AUSTIN,TX,78704,227,24,43008.0,41604.0
17427099472,AMIN DEVELOPMENT CORPORATION,909 E KOENIG LN,AUSTIN,TX,78751,227,00003,AMERICAS BEST VALUE INN,909 E KOENIG LN,AUSTIN,TX,78751,227,88,151230.14,136703.33
14320123657,"HPT TRS SPES II, INC.",830 CITY AVE,MOORE,OK,73160,000,00004,AMERISUITES - AF,7522 NORTH IH-35,AUSTIN,TX,78752,227,122,426656.18,351246.35
32048209129,ANTHONY BELL,9550 SAVANNAH RIDGE DR UNIT 33,AUSTIN,TX,78726,227,00001,ANTHONY T BELL,13010 WATER LN,AUSTIN,TX,78732,227,6,13594.0,13594.0
32043490237,VACATIONCAKE LLC,1709 BLUEBONNET LN,AUSTIN,TX,78704,227,00038,ATOMIC RANCH,5010 GLADEVIEW DR,AUSTIN,TX,78745,227,1,3672.0,2305.0
32049981734,"AUSBW MANAGEMENT, INC.",122 MUSKET DR,BASTROP,TX,78602,011,00001,"AUSBW MANAGEMENT, INC.",7601 E BEN WHITE BLVD,AUSTIN,TX,78741,227,8,284124.67,252327.33
32033466411,"AUSTIN HOTEL ASSOCIATES, LLC",8100 E 22ND ST N BLDG 500,WICHITA,KS,67226,000,00001,AUSTIN ALOFT,11601 DOMAIN DR,AUSTIN,TX,78758,227,140,613191.17,609658.87
32017937718,"AUSTIN AT BEE CAVES REALTY, CORP.",1104 LIPAN TRL,AUSTIN,TX,78733,227,00010,AUSTIN AT BEE CAVES REALTY,17127 ROCKY RIDGE RD,AUSTIN,TX,78734,227,1,7575.0,7575.0
32017937718,"AUSTIN AT BEE CAVES REALTY, CORP.",1104 LIPAN TRL,AUSTIN,TX,78733,227,00038,AUSTIN AT BEE CAVES REALTY,3335 FAR VIEW DR,AUSTIN,TX,78730,227,1,0.0,0.0
