"MB821424","ABI-HAUS                      ","959 N 2ND ST                  ","ABILENE             ","TX","79601","221","          ","2016/06", 000000649.83
"MB638028","ABILENE BEEHIVE INC           ","442 CEDAR ST STE A            ","ABILENE             ","TX","79601","221","          ","2016/06", 000002196.86
"MB543114","ABILENE BOWLING LANES INC     ","279 RUIDOSA AVE               ","ABILENE             ","TX","79605","221","          ","2016/06", 000000176.54
"MB933130","ABILENE CABARET LLC           ","1918 BUTTERNUT ST             ","ABILENE             ","TX","79602","221","          ","2016/06", 000001383.08
"N 037863","ABILENE COUNTRY CLUB          ","4039 S TREADAWAY BLVD         ","ABILENE             ","TX","79602","221","          ","2016/06", 000002884.48
"MB200506","ABILENE SEAFOOD TAVERN        ","1882 S CLACK ST               ","ABILENE             ","TX","79605","221","          ","2016/05", 000001528.40
"MB200506","ABILENE SEAFOOD TAVERN        ","1882 S CLACK ST               ","ABILENE             ","TX","79605","221","          ","2016/06", 000001396.68
"MB541702","ABUELO'S BEVERAGE CORPORATION ","4782 S 14TH ST                ","ABILENE             ","TX","79605","221","          ","2016/06", 000005065.93
"MB932373","ACE IN THE HOLE               ","133 EPLENS CT                 ","ABILENE             ","TX","79605","221","          ","2016/06", 000000000.00
"MB248134","BILLIARDS PLUS                ","5495 S 7TH ST                 ","ABILENE             ","TX","79605","221","          ","2016/06", 000001414.30
"MB685388","BONZAI JAPANESE STEAK HOUSE   ","1802 S CLACK ST               ","ABILENE             ","TX","79605","221","          ","2016/06", 000000541.96
"MB701733","BREAKERS SPORTS BAR           ","1874 S CLACK ST               ","ABILENE             ","TX","79605","221","          ","2016/06", 000004290.01
"MB937950","BUFFALO WILD WINGS GRILL & BAR","1010 E OVERLAND TRL           ","ABILENE             ","TX","79601","221","          ","2016/06", 000004556.40
"MB537755","BUFFALO WILD WINGS GRILL AND B","4401 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2016/06", 000004478.07
"MB139550","CAHOOTS CATFISH & OYSTER BAR/J","301 S 11TH ST                 ","ABILENE             ","TX","79602","221","          ","2016/06", 000000524.81
"MB121979","CASA HERRERA                  ","4109 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2016/06", 000000553.01
"MB892940","CHELSEA'S ST PUB              ","4310 BUFFALO GAP RD STE 1342  ","ABILENE             ","TX","79606","221","          ","2016/06", 000001236.15
"MB232328","CHILI'S GRILL & BAR           ","4302 S CLACK ST               ","ABILENE             ","TX","79606","221","          ","2016/06", 000002834.36
"MB163912","CHILIS GRILL & BAR            ","1702 HWY 351                  ","ABILENE             ","TX","79601","221","          ","2016/06", 000003085.95
"MB580409","COPPER CREEK FINE TEXAS DINING","4401 LOOP 322                 ","ABILENE             ","TX","79602","221","          ","2016/06", 000001784.74
"MB864640","COURTYARD BY MARRIOTT         ","4350 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2016/06", 000000286.69
"MB920982","COURTYARD BY MARRIOTT ABILENE ","2141 SCOTTISH RD              ","ABILENE             ","TX","79601","221","          ","2016/06", 000000485.21
"MB242211","CYPRESS STREET STATION        ","158 CYPRESS STREET            ","ABILENE             ","TX","79601","221","          ","2016/06", 000000602.26
"MB847723","DAKOTA'S DIXIE ROSE           ","4417 CRAWFORD DR              ","ABILENE             ","TX","79602","221","          ","2016/06", 000001179.87
"MB912704","DON LUIS CAFE                 ","3370 N 1ST ST                 ","ABILENE             ","TX","79603","221","          ","2016/05", 000000266.25
"MB912704","DON LUIS CAFE                 ","3370 N 1ST ST                 ","ABILENE             ","TX","79603","221","          ","2016/06", 000000302.70
"MB946546","DON LUIS CAFE                 ","4534 BUFFALO GAP RD           ","ABILENE             ","TX","79606","221","          ","2016/06", 000000080.06
"MB113803","EL CHICO RESTAURANT NO 93     ","4310 BUFFALO GAP RD MALL ABI  ","ABILENE             ","TX","79606","221","          ","2016/06", 000000661.02
"MB928535","ENCHILADA EXPRESS             ","2134 S 27TH ST                ","ABILENE             ","TX","79605","221","          ","2016/06", 000000193.42
"N 649815","FAIRWAY OAKS                  ","34 FAIRWAY OAKS BLVD          ","ABILENE             ","TX","79606","221","          ","2016/06", 000000946.10
"MB817820","FAT BOSS'S PUB                ","216 PINE ST                   ","ABILENE             ","TX","79601","221","          ","2016/06", 000002097.23
"MB900652","FATBOY'S                      ","525 ARNOLD BLVD               ","ABILENE             ","TX","79605","221","          ","2016/06", 000001250.42
"MB845988","FUZZY'S TACO SHOP             ","3351 TURNER PLZ STE 100-N     ","ABILENE             ","TX","79606","221","          ","2016/06", 000006689.28
"MB773858","GENGHIS GRILL - THE MONGOLIAN ","4438 S CLACK ST               ","ABILENE             ","TX","79606","221","          ","2016/06", 000000000.00
"MB169630","GUITARS & CADILLACS           ","3881 VINE ST                  ","ABILENE             ","TX","79602","221","          ","2016/06", 000007019.92
"MB863880","HILTON GARDEN INN - ABILENE   ","4449 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2016/06", 000000581.15
"MB934293","HOLIDAY INN ABILENE           ","3525 W LAKE RD                ","ABILENE             ","TX","79601","221","          ","2016/06", 000000000.00
"MB926397","HOUR GLASS                    ","1532 BUTTERNUT ST             ","ABILENE             ","TX","79602","221","          ","2016/06", 000001524.18
"MB936922","LEGACY BAR                    ","3450 S CLACK ST               ","ABILENE             ","TX","79606","221","          ","2016/06", 000000758.90
"MB621143","LOGAN'S ROADHOUSE             ","3126 S CLACK ST               ","ABILENE             ","TX","79606","221","          ","2016/06", 000002163.89
"MB415595","LYTLE LAND & CATTLE CO        ","1150 E SOUTH 11TH ST          ","ABILENE             ","TX","79602","221","          ","2016/06", 000002611.92
"MB723936","MARTIN D DENSON VFW POST 6873 ","1049 VETERANS DRIVE           ","ABILENE             ","TX","79605","221","          ","2016/06", 000001435.27
"MB827443","MC SPORTS BAR AND TAQUERIA    ","4025 N 1ST ST                 ","ABILENE             ","TX","79603","221","          ","2016/06", 000001252.43
"MB882946","MI BARRIO TEJANO              ","2902 N 2ND ST                 ","ABILENE             ","TX","79603","221","          ","2016/06", 000000699.14
"MB887649","MIGUEL'S MEX TEX CAFE         ","3001 S DANVILLE DR            ","ABILENE             ","TX","79605","221","          ","2016/06", 000003465.10
"MB409136","MY PLACE                      ","5695 S 1ST ST - ROYAL INN     ","ABILENE             ","TX","79605","221","          ","2016/06", 000000607.62
"MB858744","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2016/06", 000000706.85
"MB457521","OUTBACK STEAKHOUSE            ","4142 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2016/06", 000002167.91
"NE162922","PARRAMORE POST NO 57, THE AMER","302 E SOUTH 11TH ST           ","ABILENE             ","TX","79602","221","          ","2016/06", 000000478.17
"MB917558","PT EVENT CENTER               ","5126 BRICK RD                 ","ABILENE             ","TX","79601","221","          ","2016/06", 000000159.99
"MB888801","PUBLIC HAUS                   ","173 PINE ST                   ","ABILENE             ","TX","79601","221","          ","2016/06", 000001116.35
"MB859578","R SPORTS BAR & GRILL          ","2534 S TREADAWAY BLVD         ","ABILENE             ","TX","79602","221","          ","2016/06", 000002812.99
"MB123077","RED LOBSTER RESTAURANT #282   ","1280 S CLACK ST               ","ABILENE             ","TX","79605","221","          ","2016/06", 000001078.29
"MB817882","RED ROBIN ABILENE #445        ","3549 CATCLAW DR               ","ABILENE             ","TX","79606","221","          ","2016/06", 000000844.73
"MB780540","ROSA'S CAFE & TORTILLA FACTORY","1026 N JUDGE ELY BLVD         ","ABILENE             ","TX","79601","221","          ","2016/06", 000000148.20
"MB566646","ROSA'S CAFE #21               ","3333 CATCLAW DRIVE            ","ABILENE             ","TX","79606","221","          ","2016/06", 000000257.68
"MB754782","SHOOTERS                      ","1021 N MOCKINGBIRD LN         ","ABILENE             ","TX","79603","221","          ","2016/06", 000001243.85
"MB882380","SPANKY P'S TAVERN             ","2442 S 7TH ST                 ","ABILENE             ","TX","79605","221","          ","2016/06", 000001025.03
"MB769453","TAMOLLY'S MEXICAN RESTAURANT O","4400 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2016/06", 000000349.60
"MB881842","TAYLOR COUNTY TAPHOUSE        ","4002 CATCLAW DR               ","ABILENE             ","TX","79606","221","          ","2016/06", 000003094.93
"MB438322","TEXAS ROADHOUSE               ","1381 S DANVILLE DR            ","ABILENE             ","TX","79605","221","          ","2016/06", 000003101.43
"MB493736","THE FIREHOUSE BAR AND GRILL   ","2074 BUTTERNUT ST             ","ABILENE             ","TX","79602","221","          ","2016/06", 000001085.93
"MB691607","THE LONE STAR BAR             ","541 ARNOLD BLVD               ","ABILENE             ","TX","79605","221","          ","2016/06", 000000320.26
